City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,itacoatiara,-3.1431,-58.4442,81.37,88,94,2.57,BR,1684096616
84,badger,64.8,-147.5333,64.99,26,0,13.8,US,1684096616
85,ciro marina,39.3732,17.126,63.43,92,100,9.75,IT,1684096617
86,al kharj,24.155,47.3346,88.38,15,36,9.15,SA,1684096617
87,georgetown,5.4112,100.3354,82.35,89,20,2.3,MY,1684096618
88,tabou,4.423,-7.3528,79.84,85,100,7.63,CI,1684096618
89,xilin hot,43.9667,116.0333,46.71,62,100,10.49,CN,1684096619
90,tiksi,71.6872,128.8694,9.37,83,12,3.53,RU,1684096619
91,margaret river,-33.95,115.0667,59.09,74,100,1.63,AU,1684096620
92,coquimbo,-29.9533,-71.3436,62.33,77,100,5.75,CL,1684096601
93,ashland,40.8167,-82.2665,71.06,58,95,15.01,US,1684096621
94,touros,-5.1989,-35.4608,80.1,81,23,10.13,BR,1684096622
95,rongelap,11.1635,166.8941,81.86,77,11,13.11,MH,1684096622
96,uturoa,-16.7333,-151.4333,81.1,75,23,6.35,PF,1684096623
97,roma,43.2128,-75.4557,64.38,32,0,18.41,US,1684096564
98,saldanha,-33.0117,17.9442,57.25,68,0,12.59,ZA,1684096623
99,afaahiti,-17.75,-149.2833,82.27,76,29,4.14,PF,1684096624
100,hawaiian paradise park,19.5933,-154.9731,75.9,90,100,3.44,US,1684096624
101,arraial do cabo,-22.9661,-42.0278,73.26,73,0,9.22,BR,1684096624
102,nako,31.8814,78.627,35.55,76,61,4.07,IN,1684096625
103,beloyarskiy,63.7119,66.6722,38.89,76,100,5.95,RU,1684096625
104,concepcion,-36.827,-73.0498,57.0,82,75,14.97,CL,1684096626
105,lautoka,-17.6167,177.4667,78.66,73,75,10.36,FJ,1684096626
106,baiti,13.745,-14.7482,95.16,18,99,4.63,SN,1684096627
107,timbuktu,16.7735,-3.0074,87.76,34,82,11.56,ML,1684096627
108,tolanaro,-25.0319,46.9987,71.67,94,40,18.41,MG,1684096628
109,udachny,66.4167,112.4,26.04,98,99,4.56,RU,1684096629
110,preobrazheniye,42.9019,133.9064,48.85,91,100,1.45,RU,1684096629
111,alvand,36.3187,49.1678,45.07,87,55,3.89,IR,1684096629
112,mahibadhoo,3.7833,72.9667,83.23,77,100,19.6,MV,1684096630
113,harper,4.375,-7.7169,79.99,85,100,8.3,LR,1684096631
114,larroque,-33.036,-59.0013,67.39,49,94,6.44,AR,1684096631
115,nar'yan-mar,67.6713,53.087,32.38,93,100,12.26,RU,1684096632
116,gizo,-8.103,156.8419,82.99,79,56,3.58,SB,1684096632
117,fatezh,52.0891,35.8632,60.78,84,17,6.98,RU,1684096528
118,papatowai,-46.5619,169.4708,43.63,89,89,6.15,NZ,1684096633
